City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
275,Tutoia,BR,77.5,-2.7619,-42.2744,Pousada Guará's
277,Ixtapa,MX,73.4,20.7,-105.2,Hotel Plaza Providencia
278,Jati,PK,69.82,24.3539,68.2671,Cafe Lala Rehan
291,Porbandar,IN,74.07,21.6422,69.6093,Lords Inn Porbandar
293,Neuquen,AR,75.2,-38.9516,-68.0591,Hotel del Comahue
295,Muisne,EC,78.06,0.6,-80.0333,La Facha Hostel Restaurant & Surf
298,Ambilobe,MG,73.04,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
299,Charlestown,AU,71.01,-32.95,151.6667,NOAH'S on the beach
300,Cidreira,BR,73.92,-30.1811,-50.2056,Casa 2 dormitórios Oasis Sul
302,Fayaoue,NC,79.68,-20.65,166.5333,Chez Dydyce Guesthouse
306,Axim,GH,78.3,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
307,Eyl,SO,75.94,7.9803,49.8164,Amiin Hotel
308,Nelson Bay,AU,68.0,-32.7167,152.15,Mantra Nelson Bay
311,Mangaratiba,BR,77.0,-22.9597,-44.0406,Hotel Gaivota
319,San Cristobal,VE,78.8,7.7669,-72.225,Posada Villaven C.A.
323,Ouadda,CF,69.39,8.0777,22.4007,
337,Ewo,CG,73.78,-0.8725,14.8206,Residence Elonda Ewo
338,Lujiang,CN,70.0,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
340,Baguanos,CU,77.0,20.7517,-76.0269,Magalis y William
345,Bandarbeyla,SO,76.57,9.4942,50.8122,JABIR HOTEL
354,Peyima,SL,73.02,8.7,-11.0333,Lion Mountains Hotel (Formerly Uncle Ben's Hotel)
360,Kawalu,ID,79.52,-7.3817,108.2082,Hotel Santika Tasikmalaya
361,Sunbury,AU,68.0,-37.5833,144.7333,PARKROYAL Melbourne Airport
363,Amapa,BR,72.14,1.0,-52.0,Albergue da Amazônia
364,Anse-Bertrand,GP,77.0,16.4721,-61.5078,Locations Plus
365,Coffs Harbour,AU,70.0,-30.3,153.1333,Opal Cove Resort Coffs Harbour
368,Kitgum,UG,75.43,3.2783,32.8867,Jaflo Gardens Hotel
370,Cap Malheureux,MU,75.99,-19.9842,57.6142,Trou aux Biches Beachcomber Golf Resort & Spa
372,Puri,IN,75.2,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
375,Puerto Maldonado,PE,75.25,-12.6,-69.1833,Wasai Hotel
378,Kaeo,NZ,73.99,-35.1,173.7833,The Lodge at Kauri Cliffs
384,Port Shepstone,ZA,73.18,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
385,Rafai,CF,69.39,4.95,23.9167,
