WeatherPy_Database,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yamasaki,JP,2021-03-15 00:57:52,35.0,134.55,50.0,87,20,2.3
68,Albany,US,2021-03-15 00:53:29,42.6001,-73.9662,27.0,29,17,7.0
69,Upernavik,GL,2021-03-15 00:57:53,72.7868,-56.1549,-5.62,99,99,6.04
70,Saskylakh,RU,2021-03-15 00:57:53,71.9167,114.0833,-26.73,91,93,4.25
71,Vaini,TO,2021-03-15 00:57:02,-21.2,-175.2,80.6,78,75,5.75
72,Dukat,RU,2021-03-15 00:57:54,62.55,155.55,-0.98,85,87,4.97
73,Kahului,US,2021-03-15 00:54:32,20.8947,-156.47,78.8,69,40,5.75
74,Pangnirtung,CA,2021-03-15 00:57:55,66.1451,-65.7125,-16.76,88,6,1.59
75,Chokurdakh,RU,2021-03-15 00:57:55,70.6333,147.9167,-16.24,91,0,5.79
76,Saint George,US,2021-03-15 00:53:01,37.1041,-113.5841,60.01,33,1,13.8
77,Safranbolu,TR,2021-03-15 00:57:56,41.2508,32.6942,45.0,72,90,1.88
78,Santiago,CL,2021-03-15 00:57:56,-33.4569,-70.6483,71.01,63,20,14.97
79,Port Alfred,ZA,2021-03-15 00:57:01,-33.5906,26.891,69.01,96,95,1.01
80,Provideniya,RU,2021-03-15 00:57:56,64.3833,-173.3,26.19,93,100,8.68
81,Hobart,AU,2021-03-15 00:56:54,-42.8794,147.3294,70.0,43,40,14.97
82,Guerrero Negro,MX,2021-03-15 00:57:57,27.9769,-114.0611,59.32,67,55,20.33
83,Lermontovka,RU,2021-03-15 00:57:57,47.1453,134.3383,38.7,67,0,9.17
84,Apomu,NG,2021-03-15 00:57:58,7.3333,4.1833,75.88,85,94,3.58
85,Cockburn Town,TC,2021-03-15 00:57:58,21.4612,-71.1419,73.4,64,20,9.22
86,Yatou,CN,2021-03-15 00:57:59,37.15,122.3833,49.55,72,100,18.72
87,Cabo San Lucas,MX,2021-03-15 00:57:59,22.8909,-109.9124,72.0,53,20,4.61
88,Manzanillo,CU,2021-03-15 00:57:59,20.3433,-77.1167,76.86,66,95,10.0
89,Ribeira Grande,PT,2021-03-15 00:58:00,38.5167,-28.7,60.64,91,10,8.37
90,Ostrovnoy,RU,2021-03-15 00:58:00,68.0531,39.5131,21.97,92,96,5.21
91,Siocon,PH,2021-03-15 00:58:00,7.7061,122.1353,83.57,74,5,3.49
92,Sayyan,YE,2021-03-15 00:58:01,15.1718,44.3244,53.17,23,10,4.74
93,Leningradskiy,RU,2021-03-15 00:58:01,69.3833,178.4167,2.16,94,100,14.09
94,Nome,US,2021-03-15 00:58:02,64.5011,-165.4064,21.2,93,90,12.66
95,Mackay,AU,2021-03-15 00:58:02,-21.15,149.2,87.01,61,47,8.05
96,Castro,BR,2021-03-15 00:58:02,-24.7911,-50.0119,64.6,81,40,3.2
97,Clyde River,CA,2021-03-15 00:58:03,70.4692,-68.5914,-7.6,77,75,25.32
98,Ubauro,PK,2021-03-15 00:58:03,28.1652,69.7289,69.12,43,65,14.16
99,Krasnoselkup,RU,2021-03-15 00:58:04,65.7,82.4667,6.8,96,100,5.88
100,Grafton,US,2021-03-15 00:58:04,42.207,-71.6856,27.0,36,1,14.97
101,Ngunguru,NZ,2021-03-15 00:58:04,-35.6167,174.5,73.99,68,5,10.0
102,Qaanaaq,GL,2021-03-15 00:57:12,77.484,-69.3632,-5.6,63,99,6.67
103,Nuzvid,IN,2021-03-15 00:58:05,16.7833,80.85,73.4,94,40,3.44
104,Tankhoy,RU,2021-03-15 00:58:05,51.5528,105.1306,14.11,78,0,3.78
