City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avera,US,2021-03-14 22:10:41,33.194,-82.5271,80.6,44,40,1.7
68,Albany,US,2021-03-14 22:06:51,42.6001,-73.9662,32.0,25,74,1.99
69,Bambous Virieux,MU,2021-03-14 22:11:05,-20.3428,57.7575,77.0,94,75,3.44
70,Jamestown,US,2021-03-14 22:08:48,42.097,-79.2353,34.0,47,1,18.79
71,Taoudenni,ML,2021-03-14 22:11:44,22.6783,-3.9836,74.95,29,0,13.29
72,Hermanus,ZA,2021-03-14 22:10:15,-34.4187,19.2345,64.99,93,96,11.43
73,Salalah,OM,2021-03-14 22:11:34,17.0151,54.0924,73.4,56,0,4.61
74,Iwaki,JP,2021-03-14 22:14:12,37.05,140.8833,51.01,62,100,5.01
75,Lebu,CL,2021-03-14 22:10:23,-37.6167,-73.65,61.5,75,0,5.57
76,Bardiyah,LY,2021-03-14 22:14:13,31.7561,25.0865,55.67,78,45,5.55
77,Qaanaaq,GL,2021-03-14 22:11:25,77.484,-69.3632,-4.9,65,100,3.29
78,Rocha,UY,2021-03-14 22:11:16,-34.4833,-54.3333,63.01,82,0,3.91
79,Mayo,US,2021-03-14 22:14:13,38.8876,-76.5119,59.0,26,1,18.41
80,Hithadhoo,MV,2021-03-14 22:11:16,-0.6,73.0833,84.13,64,100,6.51
81,Victoria,HK,2021-03-14 22:12:56,22.2855,114.1577,69.01,85,92,13.47
82,Kutum,SD,2021-03-14 22:12:03,14.2,24.6667,69.24,9,0,5.68
83,Huarmey,PE,2021-03-14 22:14:14,-10.0681,-78.1522,76.48,71,14,9.01
84,Chernyshevskiy,RU,2021-03-14 22:14:15,63.0128,112.4714,-19.62,94,0,7.43
85,Ribeira Grande,PT,2021-03-14 22:11:00,38.5167,-28.7,60.8,94,40,10.36
86,Pochinki,RU,2021-03-14 22:14:15,54.6988,44.8668,33.13,97,100,17.13
87,Kavaratti,IN,2021-03-14 22:12:07,10.5669,72.642,82.62,68,6,4.7
88,Saskylakh,RU,2021-03-14 22:10:58,71.9167,114.0833,-31.43,91,0,4.32
89,Teya,RU,2021-03-14 22:14:16,60.3778,92.6267,2.26,94,99,7.87
90,Ocala,US,2021-03-14 22:12:38,29.1872,-82.1401,84.99,37,1,2.15
91,Bull Savanna,JM,2021-03-14 22:14:17,17.8868,-77.5902,77.0,70,28,8.39
